CustomerID,FirstName,LastName,Gender,Age,DateOfBirth,MaritalStatus,NumberOfDependents,Occupation,EducationLevel,Country,County,Town,PostalCode,Region,JoinDate,TenureMonths,CustomerSegment,SubscriptionPlan,ContractType,NumberOfProducts,PremiumMember,ReferralSource,AccountManagerAssigned,PreferredCommunication,MonthlyCharges,TotalCharges,AverageMonthlySpend,PaymentMethod,AutoPay,BillingFrequency,LatePayments,OutstandingBalance,DiscountsReceived,LastPaymentAmount,LoginsPerMonth,AverageSessionMinutes,SessionsPerWeek,DaysSinceLastLogin,FeaturesAvailable,FeaturesUsed,FeatureAdoptionRate,PurchasesLast12Months,AveragePurchaseValue,UsageTrend,EmailOpenRate,MarketingClickRate,LoyaltyPoints,PromotionsRedeemed,CommunityParticipation,SupportTickets,Complaints,AverageResolutionHours,Escalations,RefundRequests,CustomerSupportRating,NetPromoterScore,CustomerSatisfactionScore,SurveyScore,ProductRating,CustomerLifetimeValue,EstimatedAnnualRevenue,ProfitMarginPercent,Churn,ChurnDate,ChurnReason,ChurnRiskScore,CustomerHealthScore,EngagementScore,SatisfactionCategory
KE-CUST-000001,Mutiso,Muli,Male,29,1996-07-02,Single,1,Civil Servant,Bachelor's Degree,Kenya,Kisumu,Kisumu,40100,Nyanza Region,2019-01-27,83,SME,Standard,Month-to-Month,6,No,Social Media,Yes,WhatsApp,1640.22,141022.68,1670.15,M-Pesa,Yes,Monthly,1,1364.75,22.96,1533.11,34,29.6,5,11,8,2,25.0,1,1729.62,Increasing,20.4,9.6,1601,5,High,1,0,30.1,0,0,5,8,4,75.0,4.0,77099.65,22205.12,18.2,No,,,18.4,87.5,55.7,Satisfied
KE-CUST-000002,Sharon,Mutinda,Female,18,2007-04-04,Single,0,Doctor,Secondary,Kenya,Nairobi,Nairobi,100,Nairobi Region,2019-11-22,5,Residential,Premium,Month-to-Month,2,Yes,Friend/Family,No,SMS,4240.47,21287.26,4430.99,Bank Transfer,Yes,Monthly,0,0.53,765.02,4075.08,24,21.7,3,6,9,3,33.3,2,2790.5,Decreasing,47.0,20.7,1608,2,Low,5,2,16.0,0,1,5,7,3,62.0,3.0,47838.08,58965.42,11.2,Yes,2020-04-03,Switched to Competitor,69.6,57.1,53.4,Neutral
KE-CUST-000003,Mercy,Koskei,Female,31,1994-01-26,Divorced,0,Marketing Officer,Secondary,Kenya,Meru,Meru,60200,Eastern Region,2018-01-08,63,Residential,Premium,Month-to-Month,1,Yes,Walk-in,No,WhatsApp,4651.3,296103.64,5004.73,Standing Order,Yes,Quarterly,2,965.98,166.94,4836.19,16,23.8,1,19,6,2,33.3,1,1312.51,Increasing,24.1,5.1,2868,2,Low,3,1,7.4,0,0,5,3,3,60.0,3.0,252536.42,49859.9,21.6,Yes,2023-04-26,Service Reliability,75.4,54.1,20.1,Neutral
KE-CUST-000004,Bosibori,Koskei,Female,47,1978-11-17,Single,0,Data Analyst,Master's Degree,Kenya,Kakamega,Kakamega,50100,Western Region,2023-12-08,20,Residential,Standard,24 Months,4,No,Advertisement,No,Call,1614.87,33800.2,1527.16,M-Pesa,No,Monthly,2,951.08,1148.97,1684.17,4,26.9,5,1,11,5,45.5,5,1566.92,Decreasing,35.3,13.9,54,1,Medium,3,1,11.4,0,0,5,8,4,78.0,4.0,34387.72,19959.18,13.4,Yes,2025-08-29,Poor Customer Service,44.4,68.8,36.3,Satisfied
KE-CUST-000005,Collins,Wachira,Male,42,1983-10-02,Married,2,Engineer,Bachelor's Degree,Kenya,Uasin Gishu,Eldoret,30100,Rift Valley Region,2018-02-21,94,Residential,Standard,Month-to-Month,3,No,Online Search,No,WhatsApp,1844.72,179161.46,1845.26,M-Pesa,Yes,Quarterly,0,2.82,255.88,1854.46,30,22.7,6,4,12,7,58.3,5,2128.75,Stable,43.9,10.2,914,3,Low,5,2,5.0,0,0,4,5,5,92.0,5.0,102171.41,27573.18,15.3,No,,,40.4,76.1,66.4,Very Satisfied
KE-CUST-000006,Anthony,Kones,Male,41,1984-08-04,Single,0,Project Manager,Unknown,Kenya,Kisii,Kisii,40200,Nyanza Region,2018-01-20,95,Residential,Family,Month-to-Month,3,No,Walk-in,No,WhatsApp,2967.18,277772.82,3046.18,M-Pesa,No,Monthly,1,488.73,740.51,2936.51,18,16.7,5,19,8,5,62.5,7,972.76,Decreasing,68.1,27.4,1384,4,Medium,2,1,21.8,0,0,4,8,5,100.0,4.0,166721.11,35377.73,18.4,No,,,46.2,76.5,59.5,Very Satisfied
KE-CUST-000007,George,Omondi,Male,33,1992-05-02,Married,4,Shop Owner,Bachelor's Degree,Kenya,Kiambu,Kiambu,900,Central Region,2021-08-31,52,Corporate,Unlimited,12 Months,3,Yes,Online Search,Yes,Call,4569.01,238647.45,4594.33,Bank Transfer,No,Monthly,1,1113.29,59.04,4559.94,24,24.8,4,24,15,9,60.0,2,1909.6,Stable,35.3,8.3,620,3,Medium,2,0,8.0,0,0,5,6,5,86.0,4.0,155280.91,59014.35,19.3,No,,,32.1,75.5,52.7,Very Satisfied
KE-CUST-000008,Esther,Duale,Female,21,2004-02-10,Single,0,Sales Executive,Bachelor's Degree,Kenya,Nairobi,Nairobi,100,Nairobi Region,2022-04-25,44,SME,Business,12 Months,2,No,Agent,Yes,Call,5302.85,234051.79,5330.26,Bank Transfer,Yes,Monthly,0,33.02,780.63,5480.56,5,23.0,6,21,5,2,40.0,3,1572.77,Increasing,9.2,1.9,187,1,Low,3,1,40.2,0,0,5,7,4,67.0,4.0,195159.38,58577.02,14.7,No,,,64.0,50.3,16.9,Satisfied
KE-CUST-000009,Bosibori,Kones,Female,42,1983-11-01,Married,1,Civil Servant,Diploma,Kenya,Nairobi,Nairobi,100,Nairobi Region,2021-06-08,54,Residential,Basic,Month-to-Month,4,No,Online Search,No,WhatsApp,987.72,53416.9,868.36,M-Pesa,Yes,Monthly,0,65.34,1114.79,885.64,25,14.7,5,4,15,5,33.3,9,2330.67,Decreasing,64.0,17.6,164,1,Low,1,0,4.9,0,1,5,9,4,71.0,4.0,35192.5,10197.09,15.6,No,,,28.1,87.5,59.3,Satisfied
KE-CUST-000010,Lilian,Abdi,Female,26,1999-02-26,Single,0,Civil Servant,Diploma,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2018-04-24,92,SME,Standard,24 Months,3,No,Advertisement,No,Unknown,2448.88,207920.98,2230.45,M-Pesa,Yes,Monthly,0,98.16,1233.67,2499.23,19,39.1,6,3,14,9,64.3,6,2145.09,Increasing,4.6,0.5,649,1,Medium,1,0,32.2,0,0,5,5,5,91.0,5.0,153687.02,32452.71,17.7,No,,,22.0,87.6,62.7,Very Satisfied
KE-CUST-000011,Gitau,Njuguna,Male,62,1963-02-20,Divorced,0,Marketing Officer,Diploma,Kenya,Nairobi,Nairobi,100,Nairobi Region,2024-05-15,19,Residential,Premium,Month-to-Month,5,Yes,Social Media,No,SMS,3334.68,64674.32,2874.1,Cash,Yes,Monthly,0,11.35,142.94,3462.06,4,16.5,5,5,13,11,84.6,5,1510.36,Stable,27.2,11.3,777,3,Low,3,0,10.7,0,1,5,9,4,68.0,5.0,74079.77,46349.62,18.3,No,,,25.7,82.3,50.3,Satisfied
KE-CUST-000012,Bosibori,Owuor,Female,43,1982-04-19,Married,3,Business Analyst,Diploma,Kenya,Kakamega,Kakamega,50100,Western Region,2024-04-26,20,Government,Business,Month-to-Month,6,No,Agent,Yes,WhatsApp,7671.48,135138.19,7048.18,M-Pesa,Yes,Monthly,0,11.87,507.65,7963.71,10,29.0,3,26,12,11,91.7,5,1667.57,Stable,31.5,10.5,627,3,Low,0,0,9.6,0,1,5,5,3,58.0,3.0,161807.47,97269.35,23.3,No,,,44.5,82.1,40.9,Neutral
KE-CUST-000013,Asha,Kamau,Female,29,1996-04-06,Single,0,Mechanic,PhD,Kenya,Meru,Meru,60200,Eastern Region,2022-03-16,45,Residential,Standard,12 Months,1,No,Friend/Family,No,SMS,1754.94,76152.49,1705.37,M-Pesa,No,Monthly,0,68.57,25.79,1782.9,13,27.6,6,16,11,7,63.6,2,1245.28,Stable,55.3,22.9,732,0,Low,2,1,5.6,0,1,5,9,4,84.0,4.0,71437.47,23500.72,21.8,No,,,47.2,73.1,40.3,Satisfied
KE-CUST-000014,Peter,Rotich,Male,29,1996-11-12,Married,2,Lecturer,Bachelor's Degree,Kenya,Uasin Gishu,Eldoret,30100,Rift Valley Region,2018-10-12,86,Residential,Basic,Month-to-Month,2,No,Social Media,No,SMS,584.97,49997.02,561.27,Bank Transfer,No,Monthly,3,378.8,136.62,601.32,14,13.9,5,7,15,9,60.0,4,1411.38,Increasing,66.6,15.7,145,4,Low,1,0,13.4,0,0,5,7,3,68.0,4.0,39207.26,7218.92,20.1,No,,,39.6,76.0,49.1,Neutral
KE-CUST-000015,Kiplangat,Kariuki,Male,35,1990-01-03,Single,0,Business Analyst,Master's Degree,Kenya,Machakos,Machakos,90100,Eastern Region,2019-12-08,20,Residential,Standard,Month-to-Month,2,No,Agent,No,WhatsApp,2067.86,44346.34,2250.93,M-Pesa,Yes,Monthly,0,17.74,160.37,2231.73,10,27.8,7,6,10,8,80.0,5,2458.79,Increasing,55.7,7.7,445,2,Low,5,2,16.7,0,2,3,8,4,79.0,4.0,47036.78,35650.25,24.1,Yes,2021-08-27,Poor Customer Service,58.3,64.9,67.5,Satisfied
KE-CUST-000016,Francis,Wachira,Male,33,1992-03-28,Single,1,ICT Officer,Bachelor's Degree,Kenya,Nairobi,Nairobi,100,Nairobi Region,2020-02-12,70,Residential,Family,24 Months,3,No,Unknown,No,Email,3186.45,224322.83,3203.13,M-Pesa,No,Monthly,3,854.86,493.62,3082.11,18,29.0,7,15,5,3,60.0,1,2413.45,Increasing,28.2,4.7,850,8,Medium,3,0,12.5,0,0,4,10,4,79.0,4.0,151756.27,47540.37,21.4,No,,,41.5,69.6,37.3,Satisfied
KE-CUST-000017,Brian,Sang,Male,49,1976-12-09,Married,1,Teacher,Bachelor's Degree,Kenya,Nairobi,Nairobi,100,Nairobi Region,2025-02-20,10,Residential,Basic,Month-to-Month,2,No,Online Search,No,Email,529.6,4884.33,528.44,M-Pesa,No,Monthly,4,767.76,155.18,528.4,25,24.1,3,19,10,8,80.0,3,938.91,Decreasing,56.4,18.2,1404,2,Low,1,0,5.7,0,0,5,6,4,93.0,3.0,5516.51,6000.0,15.7,No,,,40.3,81.9,50.0,Satisfied
KE-CUST-000018,Mercy,Nzioka,Female,38,1987-10-12,Single,0,Doctor,Primary,Kenya,Kisumu,Kisumu,40100,Nyanza Region,2024-12-18,12,Residential,Family,Month-to-Month,3,No,Advertisement,No,Unknown,3484.58,40488.41,3072.79,M-Pesa,No,Monthly,1,165.05,27.44,3451.22,24,24.4,9,7,5,2,40.0,3,2334.1,Stable,19.6,5.9,266,2,Low,2,1,23.4,0,0,5,7,3,60.0,2.0,53420.27,58468.07,17.6,No,,,49.9,64.4,57.2,Neutral
KE-CUST-000019,Peter,Ali,Male,27,1998-06-06,Single,0,Data Analyst,Bachelor's Degree,Kenya,Nakuru,Nakuru,20100,Rift Valley Region,2023-08-03,28,Student,Basic,24 Months,1,No,Agent,No,SMS,1027.85,30637.53,985.77,M-Pesa,Yes,Monthly,0,62.71,252.22,1088.54,17,19.2,5,11,5,2,40.0,3,921.42,Decreasing,31.9,14.3,1290,1,Medium,0,0,9.2,0,0,4,5,5,96.0,5.0,17775.14,13326.09,18.9,No,,,45.5,75.9,36.6,Very Satisfied
KE-CUST-000020,Paul,Ochieng,Male,59,1966-09-25,Single,0,Electrician,Bachelor's Degree,Kenya,Uasin Gishu,Eldoret,30100,Rift Valley Region,2020-01-15,31,Corporate,Business,Month-to-Month,1,No,SMS Promotion,Yes,Call,5276.59,163771.31,4844.13,M-Pesa,Yes,Monthly,0,55.54,142.65,5190.43,25,51.1,2,13,12,5,41.7,4,1313.77,Stable,31.2,10.9,1264,2,Low,5,1,17.5,0,1,4,4,4,69.0,4.0,137713.56,58871.29,21.7,Yes,2022-08-11,Other,68.6,64.9,47.3,Satisfied
KE-CUST-000021,Agnes,Sang,Female,37,1988-12-20,Single,0,Police Officer,Secondary,Kenya,Nairobi,Nairobi,100,Nairobi Region,2024-01-02,23,SME,Business,12 Months,3,Yes,Agent,No,Email,5499.38,131261.02,6213.75,Cash,Yes,Monthly,1,48.76,590.23,5258.04,42,24.3,4,5,11,4,36.4,6,2465.81,Stable,56.5,9.2,127,1,Medium,3,1,10.0,0,2,5,8,4,77.0,4.0,157989.27,88159.8,20.9,No,,,33.0,87.1,69.9,Satisfied
KE-CUST-000022,Hassan,Otieno,Male,45,1980-04-17,Divorced,0,Project Manager,Bachelor's Degree,Kenya,Kisumu,Kisumu,40100,Nyanza Region,2020-06-13,66,Residential,Premium,Month-to-Month,5,Yes,Online Search,No,Email,4216.15,292292.61,3870.06,Debit Card,Yes,Monthly,1,766.97,289.37,4069.18,21,29.6,5,27,8,6,75.0,1,2131.26,Decreasing,51.5,7.1,857,3,Low,3,1,6.5,0,0,5,7,4,79.0,3.0,197215.72,49849.27,11.3,No,,,52.5,65.3,42.9,Satisfied
KE-CUST-000023,Kiprotich,Nyakundi,Male,29,1996-10-03,Single,1,Electrician,Secondary,Kenya,Meru,Meru,60200,Eastern Region,2021-11-15,49,Residential,Basic,Month-to-Month,5,Yes,Online Search,No,WhatsApp,958.92,46858.3,977.49,M-Pesa,No,Monthly,0,73.85,147.25,885.63,10,24.94090356564019,7,6,12,6,50.0,3,561.5,Decreasing,48.9,19.5,554,3,Low,0,0,4.1,0,0,3,8,4,93.0,4.076202118989405,46410.95,15224.08,12.9,No,,,37.2,74.9,51.8,Satisfied
